Step 0249 (0.5%) | train: 7.6982 | val: 7.6337 | ppl: 2066.8 | tok/s: 615,346 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.5608 | val: 6.5367 | ppl: 690.0 | tok/s: 612,091 | remaining steps: 49501s
Step 0749 (1.5%) | train: 6.0483 | val: 6.0209 | ppl: 411.9 | tok/s: 610,760 | remaining steps: 49251s
Step 0999 (2.0%) | train: 5.6024 | val: 5.5979 | ppl: 269.9 | tok/s: 611,320 | remaining steps: 49001s
Step 1249 (2.5%) | train: 5.2223 | val: 5.2208 | ppl: 185.1 | tok/s: 610,263 | remaining steps: 48751s
Step 1499 (3.0%) | train: 4.9414 | val: 4.9429 | ppl: 140.2 | tok/s: 611,012 | remaining steps: 48501s
Step 1749 (3.5%) | train: 4.6892 | val: 4.7273 | ppl: 113.0 | tok/s: 612,949 | remaining steps: 48251s
Step 1999 (4.0%) | train: 4.5028 | val: 4.5289 | ppl: 92.7 | tok/s: 613,198 | remaining steps: 48001s
Step 2249 (4.5%) | train: 4.3267 | val: 4.3842 | ppl: 80.2 | tok/s: 613,813 | remaining steps: 47751s
Step 2499 (5.0%) | train: 4.1449 | val: 4.1933 | ppl: 66.2 | tok/s: 613,539 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.9591 | val: 4.0070 | ppl: 55.0 | tok/s: 613,437 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.8333 | val: 3.8979 | ppl: 49.3 | tok/s: 613,705 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.7634 | val: 3.7965 | ppl: 44.5 | tok/s: 613,618 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.6783 | val: 3.7497 | ppl: 42.5 | tok/s: 613,132 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.6062 | val: 3.6776 | ppl: 39.6 | tok/s: 614,039 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.5803 | val: 3.6325 | ppl: 37.8 | tok/s: 613,029 | remaining steps: 46001s
