Step 0249 (0.5%) | train: 7.5687 | val: 7.5174 | ppl: 1839.8 | tok/s: 612,136 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.6593 | val: 6.6324 | ppl: 759.3 | tok/s: 606,376 | remaining steps: 49501s
Step 0749 (1.5%) | train: 6.0980 | val: 6.0755 | ppl: 435.1 | tok/s: 604,905 | remaining steps: 49251s
Step 0999 (2.0%) | train: 5.5065 | val: 5.4982 | ppl: 244.3 | tok/s: 604,547 | remaining steps: 49001s
Step 1249 (2.5%) | train: 4.9979 | val: 4.9980 | ppl: 148.1 | tok/s: 606,362 | remaining steps: 48751s
Step 1499 (3.0%) | train: 4.6178 | val: 4.6312 | ppl: 102.6 | tok/s: 603,684 | remaining steps: 48501s
Step 1749 (3.5%) | train: 4.2736 | val: 4.3095 | ppl: 74.4 | tok/s: 605,106 | remaining steps: 48251s
Step 1999 (4.0%) | train: 4.0222 | val: 4.0527 | ppl: 57.6 | tok/s: 607,588 | remaining steps: 48001s
Step 2249 (4.5%) | train: 3.8490 | val: 3.8902 | ppl: 48.9 | tok/s: 605,487 | remaining steps: 47751s
Step 2499 (5.0%) | train: 3.7283 | val: 3.7746 | ppl: 43.6 | tok/s: 607,295 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.6130 | val: 3.6804 | ppl: 39.7 | tok/s: 605,002 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.5383 | val: 3.6154 | ppl: 37.2 | tok/s: 607,044 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.4978 | val: 3.5580 | ppl: 35.1 | tok/s: 607,110 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.4436 | val: 3.5327 | ppl: 34.2 | tok/s: 606,476 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.3824 | val: 3.4781 | ppl: 32.4 | tok/s: 606,656 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.3678 | val: 3.4452 | ppl: 31.3 | tok/s: 606,787 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.3364 | val: 3.4243 | ppl: 30.7 | tok/s: 606,834 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.2989 | val: 3.4067 | ppl: 30.2 | tok/s: 607,613 | remaining steps: 45501s
