Step 0249 (0.5%) | train: 7.6981 | val: 7.6336 | ppl: 2066.5 | tok/s: 611,392 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.5612 | val: 6.5379 | ppl: 690.8 | tok/s: 609,761 | remaining steps: 49501s
Step 0749 (1.5%) | train: 6.0516 | val: 6.0234 | ppl: 413.0 | tok/s: 608,633 | remaining steps: 49251s
Step 0999 (2.0%) | train: 5.6033 | val: 5.5989 | ppl: 270.1 | tok/s: 609,920 | remaining steps: 49001s
Step 1249 (2.5%) | train: 5.2279 | val: 5.2282 | ppl: 186.5 | tok/s: 610,176 | remaining steps: 48751s
Step 1499 (3.0%) | train: 4.9440 | val: 4.9541 | ppl: 141.8 | tok/s: 609,629 | remaining steps: 48501s
Step 1749 (3.5%) | train: 4.7107 | val: 4.7445 | ppl: 115.0 | tok/s: 612,003 | remaining steps: 48251s
Step 1999 (4.0%) | train: 4.5060 | val: 4.5350 | ppl: 93.2 | tok/s: 612,636 | remaining steps: 48001s
Step 2249 (4.5%) | train: 4.3371 | val: 4.4007 | ppl: 81.5 | tok/s: 612,065 | remaining steps: 47751s
Step 2499 (5.0%) | train: 4.1542 | val: 4.2011 | ppl: 66.8 | tok/s: 613,974 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.9622 | val: 4.0115 | ppl: 55.2 | tok/s: 614,054 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.8390 | val: 3.8980 | ppl: 49.3 | tok/s: 612,763 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.7673 | val: 3.8016 | ppl: 44.8 | tok/s: 609,993 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.6828 | val: 3.7490 | ppl: 42.5 | tok/s: 612,258 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.6077 | val: 3.6791 | ppl: 39.6 | tok/s: 613,901 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.5815 | val: 3.6366 | ppl: 38.0 | tok/s: 613,396 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.5434 | val: 3.6073 | ppl: 36.9 | tok/s: 612,406 | remaining steps: 45751s
