Step 0249 (0.5%) | train: 9.0075 | val: 9.0070 | ppl: 8160.3 | tok/s: 619,304 | remaining steps: 49751s
Step 0499 (1.0%) | train: 8.9931 | val: 8.9921 | ppl: 8039.5 | tok/s: 617,714 | remaining steps: 49501s
Step 0749 (1.5%) | train: 8.9667 | val: 8.9624 | ppl: 7803.9 | tok/s: 617,700 | remaining steps: 49251s
Step 0999 (2.0%) | train: 8.9103 | val: 8.9062 | ppl: 7377.8 | tok/s: 618,215 | remaining steps: 49001s
Step 1249 (2.5%) | train: 8.6832 | val: 8.6624 | ppl: 5781.6 | tok/s: 616,910 | remaining steps: 48751s
Step 1499 (3.0%) | train: 8.0525 | val: 8.0367 | ppl: 3092.5 | tok/s: 620,843 | remaining steps: 48501s
Step 1749 (3.5%) | train: 7.8361 | val: 7.8311 | ppl: 2517.8 | tok/s: 619,133 | remaining steps: 48251s
Step 1999 (4.0%) | train: 7.7020 | val: 7.7032 | ppl: 2215.4 | tok/s: 618,220 | remaining steps: 48001s
Step 2249 (4.5%) | train: 7.6074 | val: 7.6088 | ppl: 2015.8 | tok/s: 616,145 | remaining steps: 47751s
Step 2499 (5.0%) | train: 7.5204 | val: 7.5293 | ppl: 1861.7 | tok/s: 619,212 | remaining steps: 47501s
Step 2749 (5.5%) | train: 7.4590 | val: 7.4610 | ppl: 1738.8 | tok/s: 620,409 | remaining steps: 47251s
Step 2999 (6.0%) | train: 7.3958 | val: 7.3810 | ppl: 1605.2 | tok/s: 617,689 | remaining steps: 47001s
Step 3249 (6.5%) | train: 7.3158 | val: 7.3029 | ppl: 1484.6 | tok/s: 618,479 | remaining steps: 46751s
Step 3499 (7.0%) | train: 7.2466 | val: 7.2698 | ppl: 1436.2 | tok/s: 617,410 | remaining steps: 46501s
Step 3749 (7.5%) | train: 7.2461 | val: 7.2232 | ppl: 1370.9 | tok/s: 617,472 | remaining steps: 46251s
Step 3999 (8.0%) | train: 7.2259 | val: 7.2227 | ppl: 1370.1 | tok/s: 618,607 | remaining steps: 46001s
Step 4249 (8.5%) | train: 7.2648 | val: 7.2326 | ppl: 1383.8 | tok/s: 616,813 | remaining steps: 45751s
Step 4499 (9.0%) | train: 7.2119 | val: 7.1936 | ppl: 1330.9 | tok/s: 616,783 | remaining steps: 45501s
Step 4749 (9.5%) | train: 7.1652 | val: 7.1528 | ppl: 1277.7 | tok/s: 615,548 | remaining steps: 45251s
Step 4999 (10.0%) | train: 7.2100 | val: 7.1894 | ppl: 1325.3 | tok/s: 619,089 | remaining steps: 45001s
Step 5249 (10.5%) | train: 7.1793 | val: 7.1502 | ppl: 1274.4 | tok/s: 618,090 | remaining steps: 44751s
Step 5499 (11.0%) | train: 7.3054 | val: 7.1742 | ppl: 1305.3 | tok/s: 618,288 | remaining steps: 44501s
Step 5749 (11.5%) | train: 7.2497 | val: 7.5023 | ppl: 1812.3 | tok/s: 615,260 | remaining steps: 44251s
Step 5999 (12.0%) | train: 7.2300 | val: 7.1953 | ppl: 1333.1 | tok/s: 618,313 | remaining steps: 44001s
Step 6249 (12.5%) | train: 7.1742 | val: 7.1516 | ppl: 1276.1 | tok/s: 617,180 | remaining steps: 43751s
Step 6499 (13.0%) | train: 7.2039 | val: 7.1546 | ppl: 1280.0 | tok/s: 615,304 | remaining steps: 43501s
Step 6749 (13.5%) | train: 7.2945 | val: 7.1315 | ppl: 1250.8 | tok/s: 616,142 | remaining steps: 43251s
Step 6999 (14.0%) | train: 7.1610 | val: 7.2494 | ppl: 1407.3 | tok/s: 618,488 | remaining steps: 43001s
Step 7249 (14.5%) | train: 7.1622 | val: 7.1284 | ppl: 1246.9 | tok/s: 617,320 | remaining steps: 42751s
Step 7499 (15.0%) | train: 7.1476 | val: 7.1310 | ppl: 1250.1 | tok/s: 618,950 | remaining steps: 42501s
Step 7749 (15.5%) | train: 7.1905 | val: 7.1672 | ppl: 1296.3 | tok/s: 617,045 | remaining steps: 42251s
Step 7999 (16.0%) | train: 7.2546 | val: 7.1699 | ppl: 1299.7 | tok/s: 619,181 | remaining steps: 42001s
Step 8249 (16.5%) | train: 7.1539 | val: 7.1065 | ppl: 1219.9 | tok/s: 615,621 | remaining steps: 41751s
Step 8499 (17.0%) | train: 8.3412 | val: 8.6257 | ppl: 5572.8 | tok/s: 617,493 | remaining steps: 41501s
Step 8749 (17.5%) | train: 8.6524 | val: 8.6417 | ppl: 5662.9 | tok/s: 618,315 | remaining steps: 41251s
Step 8999 (18.0%) | train: 8.6077 | val: 8.6066 | ppl: 5467.8 | tok/s: 617,796 | remaining steps: 41001s
Step 9249 (18.5%) | train: 8.3515 | val: 8.3097 | ppl: 4063.3 | tok/s: 619,518 | remaining steps: 40751s
Step 9499 (19.0%) | train: 9.4058 | val: 9.3845 | ppl: 11902.5 | tok/s: 618,713 | remaining steps: 40501s
Step 9749 (19.5%) | train: 9.2316 | val: 9.2280 | ppl: 10178.5 | tok/s: 618,987 | remaining steps: 40251s
Step 9999 (20.0%) | train: 9.0474 | val: 9.0310 | ppl: 8358.0 | tok/s: 618,536 | remaining steps: 40001s
Step 10249 (20.5%) | train: 8.0233 | val: 7.7647 | ppl: 2356.0 | tok/s: 618,934 | remaining steps: 39751s
