Step 0249 (0.5%) | train: 7.7449 | val: 7.6600 | ppl: 2121.8 | tok/s: 584,813 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.0988 | val: 6.0534 | ppl: 425.5 | tok/s: 583,238 | remaining steps: 49501s
Step 0749 (1.5%) | train: 5.0098 | val: 4.9889 | ppl: 146.8 | tok/s: 582,603 | remaining steps: 49251s
Step 0999 (2.0%) | train: 4.3109 | val: 4.3016 | ppl: 73.8 | tok/s: 581,373 | remaining steps: 49001s
Step 1249 (2.5%) | train: 3.9997 | val: 4.0287 | ppl: 56.2 | tok/s: 581,683 | remaining steps: 48751s
Step 1499 (3.0%) | train: 3.8380 | val: 3.8622 | ppl: 47.6 | tok/s: 581,450 | remaining steps: 48501s
Step 1749 (3.5%) | train: 3.7107 | val: 3.7568 | ppl: 42.8 | tok/s: 583,896 | remaining steps: 48251s
Step 1999 (4.0%) | train: 3.6624 | val: 3.6939 | ppl: 40.2 | tok/s: 585,298 | remaining steps: 48001s
Step 2249 (4.5%) | train: 3.6093 | val: 3.6507 | ppl: 38.5 | tok/s: 585,137 | remaining steps: 47751s
Step 2499 (5.0%) | train: 3.5765 | val: 3.6215 | ppl: 37.4 | tok/s: 585,730 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.5160 | val: 3.5768 | ppl: 35.8 | tok/s: 585,211 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.4809 | val: 3.5460 | ppl: 34.7 | tok/s: 585,428 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.4767 | val: 3.5104 | ppl: 33.5 | tok/s: 584,531 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.4439 | val: 3.5122 | ppl: 33.5 | tok/s: 583,800 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.4083 | val: 3.4779 | ppl: 32.4 | tok/s: 583,749 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.4145 | val: 3.4603 | ppl: 31.8 | tok/s: 585,561 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.4046 | val: 3.4575 | ppl: 31.7 | tok/s: 585,415 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.3837 | val: 3.4510 | ppl: 31.5 | tok/s: 585,856 | remaining steps: 45501s
Step 4749 (9.5%) | train: 3.3859 | val: 3.4287 | ppl: 30.8 | tok/s: 585,587 | remaining steps: 45251s
Step 4999 (10.0%) | train: 3.3652 | val: 3.4260 | ppl: 30.8 | tok/s: 584,106 | remaining steps: 45001s
Step 5249 (10.5%) | train: 3.3619 | val: 3.4225 | ppl: 30.6 | tok/s: 586,046 | remaining steps: 44751s
Step 5499 (11.0%) | train: 3.3486 | val: 3.4292 | ppl: 30.9 | tok/s: 586,036 | remaining steps: 44501s
Step 5749 (11.5%) | train: 3.3683 | val: 3.4105 | ppl: 30.3 | tok/s: 586,209 | remaining steps: 44251s
Step 5999 (12.0%) | train: 3.3538 | val: 3.3993 | ppl: 29.9 | tok/s: 585,254 | remaining steps: 44001s
Step 6249 (12.5%) | train: 3.3449 | val: 3.3886 | ppl: 29.6 | tok/s: 586,252 | remaining steps: 43751s
Step 6499 (13.0%) | train: 3.3445 | val: 3.3907 | ppl: 29.7 | tok/s: 584,311 | remaining steps: 43501s
Step 6749 (13.5%) | train: 3.3296 | val: 3.3807 | ppl: 29.4 | tok/s: 585,385 | remaining steps: 43251s
Step 6999 (14.0%) | train: 3.3074 | val: 3.4051 | ppl: 30.1 | tok/s: 583,997 | remaining steps: 43001s
Step 7249 (14.5%) | train: 3.3226 | val: 3.3773 | ppl: 29.3 | tok/s: 585,491 | remaining steps: 42751s
Step 7499 (15.0%) | train: 3.3315 | val: 3.4030 | ppl: 30.1 | tok/s: 584,510 | remaining steps: 42501s
Step 7749 (15.5%) | train: 3.3250 | val: 3.3870 | ppl: 29.6 | tok/s: 584,527 | remaining steps: 42251s
Step 7999 (16.0%) | train: 3.3038 | val: 3.3708 | ppl: 29.1 | tok/s: 584,490 | remaining steps: 42001s
Step 8249 (16.5%) | train: 3.3132 | val: 3.3876 | ppl: 29.6 | tok/s: 582,930 | remaining steps: 41751s
Step 8499 (17.0%) | train: 3.3098 | val: 3.3497 | ppl: 28.5 | tok/s: 584,938 | remaining steps: 41501s
Step 8749 (17.5%) | train: 3.2912 | val: 3.3623 | ppl: 28.9 | tok/s: 584,602 | remaining steps: 41251s
Step 8999 (18.0%) | train: 3.3020 | val: 3.3762 | ppl: 29.3 | tok/s: 584,043 | remaining steps: 41001s
