optimizer      step     rankme         pr    alpha_req             lr
--------------------------------------------------------------------
AdamW           400     3.1484     1.9820     0.786837   4.788000e-05
AdamW           800    46.9283    15.6965     0.785891   9.588000e-05
AdamW          1200    93.8014    35.8907     0.857851   1.438800e-04
AdamW          1600   105.4985    45.7051     0.909636   1.918800e-04
AdamW          2000   129.1990    57.6667     0.856724   2.398800e-04
AdamW          2400   153.5471    69.9775     0.793468   2.878800e-04
AdamW          2800   170.6280    78.5661     0.754127   3.000000e-04
AdamW          3200   191.8878    93.9817     0.713891   3.000000e-04
AdamW          3600   196.0895    90.1040     0.693134   3.000000e-04
AdamW          4000   205.8829    97.5128     0.670227   3.000000e-04
AdamW          4400   209.2537    95.4198     0.653671   3.000000e-04
AdamW          4800   218.8959    99.9763     0.634045   3.000000e-04
AdamW          5200   217.7042    95.7074     0.626756   3.000000e-04
AdamW          5600   221.4178    97.4133     0.613489   3.000000e-04
AdamW          6000   222.4310    98.9212     0.608943   3.000000e-04
AdamW          6400   227.4426    98.2710     0.595230   3.000000e-04
AdamW          6800   224.7350    95.4621     0.591841   3.000000e-04
AdamW          7200   233.6717   104.3624     0.584169   3.000000e-04
AdamW          7600   230.3096    99.1251     0.579872   3.000000e-04
AdamW          8000   232.1939   102.0209     0.578424   3.000000e-04
AdamW          8400   233.0617    99.3748     0.571354   3.000000e-04
AdamW          8800   232.8950    98.6380     0.568547   3.000000e-04
AdamW          9200   238.7472   104.7249     0.561420   3.000000e-04
AdamW          9600   236.6378   100.9287     0.560559   3.000000e-04
AdamW         10000   236.5797   101.8325     0.560041   3.000000e-04
AdamW         10400   231.3053    97.1778     0.562805   3.000000e-04
AdamW         10800   237.6428    99.5185     0.552976   3.000000e-04
AdamW         11200   242.9422   106.6613     0.547944   3.000000e-04
AdamW         11600   241.6430   102.4991     0.546765   3.000000e-04
AdamW         12000   246.5301   108.5583     0.543377   3.000000e-04
AdamW         12400   238.5429    98.5431     0.542760   3.000000e-04
AdamW         12800   240.5823   101.0027     0.543576   3.000000e-04
AdamW         13200   241.5078   101.9362     0.543216   3.000000e-04
AdamW         13600   240.9905   102.4427     0.541907   3.000000e-04
AdamW         14000   241.8223   104.4074     0.544232   3.000000e-04
AdamW         14400   241.6292   103.4368     0.541713   3.000000e-04
AdamW         14800   236.3305    96.5025     0.542224   3.000000e-04
AdamW         15200   242.6952   104.1829     0.541621   3.000000e-04
AdamW         15600   243.3934   101.8490     0.536277   3.000000e-04
AdamW         16000   242.4480   102.8482     0.538040   3.000000e-04
AdamW         16400   242.7058   104.6874     0.541265   3.000000e-04
AdamW         16800   243.1741    98.7446     0.530096   3.000000e-04
AdamW         17200   249.7684   106.9648     0.528225   3.000000e-04
AdamW         17600   236.2244    90.9130     0.535544   3.000000e-04
AdamW         18000   243.6164   102.2692     0.534433   3.000000e-04
AdamW         18400   247.8070   104.7465     0.528944   3.000000e-04
AdamW         18800   242.7210   100.7831     0.531611   3.000000e-04
AdamW         19200   246.7033   104.0703     0.528661   3.000000e-04
AdamW         19600   244.3604   103.2119     0.533106   3.000000e-04
AdamW         20000   243.6705   100.4573     0.531637   3.000000e-04
AdamW         20400   247.6193   103.1860     0.527854   3.000000e-04
AdamW         20800   250.2307   105.6063     0.526297   3.000000e-04
AdamW         21200   240.7010    96.6078     0.531860   3.000000e-04
AdamW         21600   244.9090   102.5718     0.529525   3.000000e-04
AdamW         22000   244.1073    98.9785     0.527411   3.000000e-04
AdamW         22400   243.0060    99.4143     0.529126   3.000000e-04
AdamW         22800   238.4634    93.9565     0.534113   3.000000e-04
AdamW         23200   242.2739    96.5521     0.526917   3.000000e-04
AdamW         23600   244.8469    99.7738     0.525523   3.000000e-04
AdamW         24000   244.4404    99.6207     0.525133   3.000000e-04
AdamW         24400   245.7160    99.0473     0.522404   3.000000e-04
AdamW         24800   245.3222   100.4238     0.524396   3.000000e-04
AdamW         25200   244.0260    96.6549     0.523643   2.978508e-04
AdamW         25600   247.5099   101.5483     0.523710   2.935308e-04
AdamW         26000   248.6980   101.8942     0.519813   2.892108e-04
AdamW         26400   244.5489    99.8498     0.525444   2.848908e-04
AdamW         26800   254.1367   110.8743     0.520638   2.805708e-04
AdamW         27200   251.7223   104.1312     0.516997   2.762508e-04
AdamW         27600   244.9563    98.6817     0.523560   2.719308e-04
AdamW         28000   245.9273    97.5785     0.520905   2.676108e-04
AdamW         28400   245.4468    99.3835     0.521187   2.632908e-04
AdamW         28800   244.4173    98.1292     0.523188   2.589708e-04
AdamW         29200   246.3967   100.4983     0.521265   2.546508e-04
AdamW         29600   248.1611   101.8457     0.519869   2.503308e-04
AdamW         30000   249.0005   102.7477     0.520494   2.460108e-04
AdamW         30400   251.7306   104.5422     0.514223   2.416908e-04
AdamW         30800   248.2717   102.4576     0.519556   2.373708e-04
AdamW         31200   246.0108    97.7989     0.521614   2.330508e-04
AdamW         31600   251.6873   106.0532     0.514569   2.287308e-04
AdamW         32000   251.1735   104.6994     0.518032   2.244108e-04
AdamW         32400   249.2645   100.8246     0.517223   2.200908e-04
AdamW         32800   252.1088   105.3955     0.516552   2.157708e-04
AdamW         33200   246.8161    97.4763     0.517782   2.114508e-04
AdamW         33600   251.7858   103.3525     0.514698   2.071308e-04
AdamW         34000   243.3601    94.3223     0.518376   2.028108e-04
AdamW         34400   248.8392   104.6851     0.519963   1.984908e-04
AdamW         34800   251.5253   103.8611     0.515784   1.941708e-04
AdamW         35200   244.7294    98.4752     0.519690   1.898508e-04
AdamW         35600   253.9879   105.8584     0.513448   1.855308e-04
AdamW         36000   250.6778   102.2009     0.515010   1.812108e-04
AdamW         36400   248.3169    98.4833     0.514712   1.768908e-04
AdamW         36800   252.1838   103.4593     0.512263   1.725708e-04
AdamW         37200   247.7907    99.4626     0.517815   1.682508e-04
AdamW         37600   252.6297   104.3429     0.514491   1.639308e-04
AdamW         38000   256.7377   108.9180     0.511773   1.596108e-04
AdamW         38400   252.8342   103.6276     0.512012   1.552908e-04
AdamW         38800   253.3309   105.9034     0.512004   1.509708e-04
AdamW         39200   252.7326   103.3777     0.509888   1.466508e-04
AdamW         39600   249.3371   100.2836     0.514196   1.423308e-04
AdamW         40000   250.1843   103.1977     0.515688   1.380108e-04
