Step 0249 (0.5%) | train: 7.5687 | val: 7.5174 | ppl: 1839.8 | tok/s: 611,585 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.6596 | val: 6.6324 | ppl: 759.3 | tok/s: 605,050 | remaining steps: 49501s
Step 0749 (1.5%) | train: 6.0965 | val: 6.0708 | ppl: 433.0 | tok/s: 604,822 | remaining steps: 49251s
Step 0999 (2.0%) | train: 5.5089 | val: 5.5035 | ppl: 245.6 | tok/s: 608,107 | remaining steps: 49001s
Step 1249 (2.5%) | train: 4.9954 | val: 4.9915 | ppl: 147.2 | tok/s: 605,386 | remaining steps: 48751s
Step 1499 (3.0%) | train: 4.6197 | val: 4.6328 | ppl: 102.8 | tok/s: 607,270 | remaining steps: 48501s
Step 1749 (3.5%) | train: 4.2853 | val: 4.3225 | ppl: 75.4 | tok/s: 608,329 | remaining steps: 48251s
Step 1999 (4.0%) | train: 4.0332 | val: 4.0645 | ppl: 58.2 | tok/s: 609,152 | remaining steps: 48001s
Step 2249 (4.5%) | train: 3.8541 | val: 3.8949 | ppl: 49.2 | tok/s: 610,203 | remaining steps: 47751s
Step 2499 (5.0%) | train: 3.7299 | val: 3.7756 | ppl: 43.6 | tok/s: 609,937 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.6153 | val: 3.6838 | ppl: 39.8 | tok/s: 608,019 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.5392 | val: 3.6184 | ppl: 37.3 | tok/s: 608,838 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.4976 | val: 3.5596 | ppl: 35.1 | tok/s: 605,995 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.4419 | val: 3.5321 | ppl: 34.2 | tok/s: 608,515 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.3811 | val: 3.4768 | ppl: 32.4 | tok/s: 607,299 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.3667 | val: 3.4423 | ppl: 31.3 | tok/s: 608,158 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.3339 | val: 3.4230 | ppl: 30.7 | tok/s: 606,754 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.2992 | val: 3.4073 | ppl: 30.2 | tok/s: 608,277 | remaining steps: 45501s
Step 4749 (9.5%) | train: 3.2857 | val: 3.3716 | ppl: 29.1 | tok/s: 608,429 | remaining steps: 45251s
Step 4999 (10.0%) | train: 3.2508 | val: 3.3566 | ppl: 28.7 | tok/s: 608,087 | remaining steps: 45001s
Step 5249 (10.5%) | train: 3.2317 | val: 3.3419 | ppl: 28.3 | tok/s: 609,053 | remaining steps: 44751s
Step 5499 (11.0%) | train: 3.2059 | val: 3.3442 | ppl: 28.3 | tok/s: 607,697 | remaining steps: 44501s
Step 5749 (11.5%) | train: 3.2158 | val: 3.3113 | ppl: 27.4 | tok/s: 606,619 | remaining steps: 44251s
Step 5999 (12.0%) | train: 3.1889 | val: 3.2935 | ppl: 26.9 | tok/s: 609,736 | remaining steps: 44001s
Step 6249 (12.5%) | train: 3.1676 | val: 3.2779 | ppl: 26.5 | tok/s: 607,118 | remaining steps: 43751s
Step 6499 (13.0%) | train: 3.1570 | val: 3.2703 | ppl: 26.3 | tok/s: 605,936 | remaining steps: 43501s
Step 6749 (13.5%) | train: 3.1342 | val: 3.2573 | ppl: 26.0 | tok/s: 606,789 | remaining steps: 43251s
Step 6999 (14.0%) | train: 3.0974 | val: 3.2762 | ppl: 26.5 | tok/s: 609,319 | remaining steps: 43001s
Step 7249 (14.5%) | train: 3.1103 | val: 3.2400 | ppl: 25.5 | tok/s: 609,824 | remaining steps: 42751s
Step 7499 (15.0%) | train: 3.1125 | val: 3.2596 | ppl: 26.0 | tok/s: 606,905 | remaining steps: 42501s
Step 7749 (15.5%) | train: 3.0969 | val: 3.2466 | ppl: 25.7 | tok/s: 608,171 | remaining steps: 42251s
Step 7999 (16.0%) | train: 3.0710 | val: 3.2295 | ppl: 25.3 | tok/s: 607,050 | remaining steps: 42001s
Step 8249 (16.5%) | train: 3.0703 | val: 3.2391 | ppl: 25.5 | tok/s: 607,448 | remaining steps: 41751s
Step 8499 (17.0%) | train: 3.0669 | val: 3.1920 | ppl: 24.3 | tok/s: 608,851 | remaining steps: 41501s
