Step 0249 (0.5%) | train: 7.7449 | val: 7.6600 | ppl: 2121.9 | tok/s: 588,843 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.0985 | val: 6.0538 | ppl: 425.7 | tok/s: 588,115 | remaining steps: 49501s
Step 0749 (1.5%) | train: 5.0104 | val: 4.9883 | ppl: 146.7 | tok/s: 587,170 | remaining steps: 49251s
Step 0999 (2.0%) | train: 4.3100 | val: 4.3030 | ppl: 73.9 | tok/s: 585,716 | remaining steps: 49001s
Step 1249 (2.5%) | train: 4.0009 | val: 4.0273 | ppl: 56.1 | tok/s: 587,230 | remaining steps: 48751s
Step 1499 (3.0%) | train: 3.8374 | val: 3.8640 | ppl: 47.7 | tok/s: 587,346 | remaining steps: 48501s
Step 1749 (3.5%) | train: 3.7135 | val: 3.7559 | ppl: 42.8 | tok/s: 588,504 | remaining steps: 48251s
Step 1999 (4.0%) | train: 3.6617 | val: 3.6954 | ppl: 40.3 | tok/s: 589,870 | remaining steps: 48001s
Step 2249 (4.5%) | train: 3.6092 | val: 3.6488 | ppl: 38.4 | tok/s: 590,540 | remaining steps: 47751s
Step 2499 (5.0%) | train: 3.5759 | val: 3.6217 | ppl: 37.4 | tok/s: 588,544 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.5158 | val: 3.5762 | ppl: 35.7 | tok/s: 588,543 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.4811 | val: 3.5451 | ppl: 34.6 | tok/s: 589,370 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.4765 | val: 3.5107 | ppl: 33.5 | tok/s: 589,259 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.4435 | val: 3.5118 | ppl: 33.5 | tok/s: 588,980 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.4067 | val: 3.4797 | ppl: 32.5 | tok/s: 589,839 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.4139 | val: 3.4589 | ppl: 31.8 | tok/s: 589,510 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.4050 | val: 3.4564 | ppl: 31.7 | tok/s: 585,964 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.3820 | val: 3.4545 | ppl: 31.6 | tok/s: 588,676 | remaining steps: 45501s
Step 4749 (9.5%) | train: 3.3870 | val: 3.4262 | ppl: 30.8 | tok/s: 588,935 | remaining steps: 45251s
Step 4999 (10.0%) | train: 3.3649 | val: 3.4245 | ppl: 30.7 | tok/s: 589,732 | remaining steps: 45001s
Step 5249 (10.5%) | train: 3.3611 | val: 3.4227 | ppl: 30.7 | tok/s: 587,388 | remaining steps: 44751s
Step 5499 (11.0%) | train: 3.3496 | val: 3.4334 | ppl: 31.0 | tok/s: 589,034 | remaining steps: 44501s
Step 5749 (11.5%) | train: 3.3678 | val: 3.4078 | ppl: 30.2 | tok/s: 589,337 | remaining steps: 44251s
Step 5999 (12.0%) | train: 3.3532 | val: 3.3981 | ppl: 29.9 | tok/s: 587,913 | remaining steps: 44001s
Step 6249 (12.5%) | train: 3.3446 | val: 3.3904 | ppl: 29.7 | tok/s: 587,588 | remaining steps: 43751s
Step 6499 (13.0%) | train: 3.3423 | val: 3.3890 | ppl: 29.6 | tok/s: 589,462 | remaining steps: 43501s
Step 6749 (13.5%) | train: 3.3256 | val: 3.3806 | ppl: 29.4 | tok/s: 590,297 | remaining steps: 43251s
Step 6999 (14.0%) | train: 3.3062 | val: 3.4070 | ppl: 30.2 | tok/s: 589,105 | remaining steps: 43001s
Step 7249 (14.5%) | train: 3.3209 | val: 3.3749 | ppl: 29.2 | tok/s: 587,377 | remaining steps: 42751s
Step 7499 (15.0%) | train: 3.3302 | val: 3.3988 | ppl: 29.9 | tok/s: 589,213 | remaining steps: 42501s
Step 7749 (15.5%) | train: 3.3249 | val: 3.3889 | ppl: 29.6 | tok/s: 588,258 | remaining steps: 42251s
Step 7999 (16.0%) | train: 3.3030 | val: 3.3725 | ppl: 29.2 | tok/s: 588,124 | remaining steps: 42001s
Step 8249 (16.5%) | train: 3.3108 | val: 3.3860 | ppl: 29.5 | tok/s: 590,358 | remaining steps: 41751s
Step 8499 (17.0%) | train: 3.3093 | val: 3.3525 | ppl: 28.6 | tok/s: 588,889 | remaining steps: 41501s
Step 8749 (17.5%) | train: 3.2889 | val: 3.3594 | ppl: 28.8 | tok/s: 588,959 | remaining steps: 41251s
Step 8999 (18.0%) | train: 3.3013 | val: 3.3766 | ppl: 29.3 | tok/s: 589,698 | remaining steps: 41001s
Step 9249 (18.5%) | train: 3.2951 | val: 3.3647 | ppl: 28.9 | tok/s: 589,465 | remaining steps: 40751s
Step 9499 (19.0%) | train: 3.3037 | val: 3.3585 | ppl: 28.7 | tok/s: 589,295 | remaining steps: 40501s
Step 9749 (19.5%) | train: 3.2795 | val: 3.3429 | ppl: 28.3 | tok/s: 589,204 | remaining steps: 40251s
Step 9999 (20.0%) | train: 3.2714 | val: 3.3615 | ppl: 28.8 | tok/s: 588,279 | remaining steps: 40001s
Step 10249 (20.5%) | train: 3.2640 | val: 3.3534 | ppl: 28.6 | tok/s: 589,570 | remaining steps: 39751s
Step 10499 (21.0%) | train: 3.2805 | val: 3.3745 | ppl: 29.2 | tok/s: 590,191 | remaining steps: 39501s
Step 10749 (21.5%) | train: 3.2798 | val: 3.3390 | ppl: 28.2 | tok/s: 589,539 | remaining steps: 39251s
Step 10999 (22.0%) | train: 3.2946 | val: 3.3617 | ppl: 28.8 | tok/s: 589,218 | remaining steps: 39001s
Step 11249 (22.5%) | train: 3.2730 | val: 3.3540 | ppl: 28.6 | tok/s: 589,552 | remaining steps: 38751s
Step 11499 (23.0%) | train: 3.2709 | val: 3.3458 | ppl: 28.4 | tok/s: 590,752 | remaining steps: 38501s
Step 11749 (23.5%) | train: 3.2686 | val: 3.3606 | ppl: 28.8 | tok/s: 589,866 | remaining steps: 38251s
Step 11999 (24.0%) | train: 3.2631 | val: 3.3463 | ppl: 28.4 | tok/s: 588,765 | remaining steps: 38001s
Step 12249 (24.5%) | train: 3.2868 | val: 3.3520 | ppl: 28.6 | tok/s: 590,142 | remaining steps: 37751s
Step 12499 (25.0%) | train: 3.2581 | val: 3.3449 | ppl: 28.4 | tok/s: 588,603 | remaining steps: 37501s
Step 12749 (25.5%) | train: 3.2598 | val: 3.3535 | ppl: 28.6 | tok/s: 588,550 | remaining steps: 37251s
Step 12999 (26.0%) | train: 3.2454 | val: 3.3434 | ppl: 28.3 | tok/s: 587,361 | remaining steps: 37001s
Step 13249 (26.5%) | train: 3.2558 | val: 3.3074 | ppl: 27.3 | tok/s: 589,430 | remaining steps: 36751s
Step 13499 (27.0%) | train: 3.2644 | val: 3.3160 | ppl: 27.5 | tok/s: 589,571 | remaining steps: 36501s
Step 13749 (27.5%) | train: 3.2519 | val: 3.3533 | ppl: 28.6 | tok/s: 588,920 | remaining steps: 36251s
Step 13999 (28.0%) | train: 3.2444 | val: 3.2975 | ppl: 27.0 | tok/s: 588,191 | remaining steps: 36001s
Step 14249 (28.5%) | train: 3.2456 | val: 3.3404 | ppl: 28.2 | tok/s: 588,970 | remaining steps: 35751s
Step 14499 (29.0%) | train: 3.2534 | val: 3.3492 | ppl: 28.5 | tok/s: 589,601 | remaining steps: 35501s
Step 14749 (29.5%) | train: 3.2404 | val: 3.3107 | ppl: 27.4 | tok/s: 588,604 | remaining steps: 35251s
Step 14999 (30.0%) | train: 3.2370 | val: 3.3129 | ppl: 27.5 | tok/s: 588,300 | remaining steps: 35001s
Step 15249 (30.5%) | train: 3.2400 | val: 3.3036 | ppl: 27.2 | tok/s: 588,297 | remaining steps: 34751s
Step 15499 (31.0%) | train: 3.2539 | val: 3.3090 | ppl: 27.4 | tok/s: 588,642 | remaining steps: 34501s
Step 15749 (31.5%) | train: 3.2261 | val: 3.3008 | ppl: 27.1 | tok/s: 589,680 | remaining steps: 34251s
Step 15999 (32.0%) | train: 3.2448 | val: 3.3377 | ppl: 28.2 | tok/s: 589,106 | remaining steps: 34001s
Step 16249 (32.5%) | train: 3.2454 | val: 3.3285 | ppl: 27.9 | tok/s: 589,254 | remaining steps: 33751s
Step 16499 (33.0%) | train: 3.2531 | val: 3.3081 | ppl: 27.3 | tok/s: 589,286 | remaining steps: 33501s
Step 16749 (33.5%) | train: 3.2323 | val: 3.3018 | ppl: 27.2 | tok/s: 589,856 | remaining steps: 33251s
Step 16999 (34.0%) | train: 3.2292 | val: 3.2874 | ppl: 26.8 | tok/s: 587,045 | remaining steps: 33001s
Step 17249 (34.5%) | train: 3.2292 | val: 3.3107 | ppl: 27.4 | tok/s: 587,138 | remaining steps: 32751s
Step 17499 (35.0%) | train: 3.2319 | val: 3.3195 | ppl: 27.6 | tok/s: 588,316 | remaining steps: 32501s
Step 17749 (35.5%) | train: 3.2310 | val: 3.2935 | ppl: 26.9 | tok/s: 587,606 | remaining steps: 32251s
Step 17999 (36.0%) | train: 3.2318 | val: 3.3237 | ppl: 27.8 | tok/s: 587,517 | remaining steps: 32001s
Step 18249 (36.5%) | train: 3.2300 | val: 3.3016 | ppl: 27.2 | tok/s: 588,182 | remaining steps: 31751s
Step 18499 (37.0%) | train: 3.2348 | val: 3.3075 | ppl: 27.3 | tok/s: 589,561 | remaining steps: 31501s
Step 18749 (37.5%) | train: 3.2310 | val: 3.3024 | ppl: 27.2 | tok/s: 587,821 | remaining steps: 31251s
Step 18999 (38.0%) | train: 3.2294 | val: 3.2946 | ppl: 27.0 | tok/s: 588,533 | remaining steps: 31001s
Step 19249 (38.5%) | train: 3.2339 | val: 3.2926 | ppl: 26.9 | tok/s: 589,236 | remaining steps: 30751s
Step 19499 (39.0%) | train: 3.2218 | val: 3.2908 | ppl: 26.9 | tok/s: 589,295 | remaining steps: 30501s
Step 19749 (39.5%) | train: 3.2277 | val: 3.3092 | ppl: 27.4 | tok/s: 589,334 | remaining steps: 30251s
Step 19999 (40.0%) | train: 3.2253 | val: 3.2920 | ppl: 26.9 | tok/s: 585,986 | remaining steps: 30001s
Step 20249 (40.5%) | train: 3.2228 | val: 3.3017 | ppl: 27.2 | tok/s: 589,396 | remaining steps: 29751s
Step 20499 (41.0%) | train: 3.2253 | val: 3.3065 | ppl: 27.3 | tok/s: 587,070 | remaining steps: 29501s
Step 20749 (41.5%) | train: 3.2300 | val: 3.2917 | ppl: 26.9 | tok/s: 588,729 | remaining steps: 29251s
Step 20999 (42.0%) | train: 3.2198 | val: 3.3287 | ppl: 27.9 | tok/s: 589,472 | remaining steps: 29001s
Step 21249 (42.5%) | train: 3.2185 | val: 3.2838 | ppl: 26.7 | tok/s: 588,828 | remaining steps: 28751s
Step 21499 (43.0%) | train: 3.2070 | val: 3.2906 | ppl: 26.9 | tok/s: 587,740 | remaining steps: 28501s
Step 21749 (43.5%) | train: 3.2075 | val: 3.3028 | ppl: 27.2 | tok/s: 588,362 | remaining steps: 28251s
Step 21999 (44.0%) | train: 3.2227 | val: 3.3026 | ppl: 27.2 | tok/s: 587,810 | remaining steps: 28001s
Step 22249 (44.5%) | train: 3.2199 | val: 3.3053 | ppl: 27.3 | tok/s: 589,204 | remaining steps: 27751s
Step 22499 (45.0%) | train: 3.2221 | val: 3.2986 | ppl: 27.1 | tok/s: 588,874 | remaining steps: 27501s
Step 22749 (45.5%) | train: 3.2063 | val: 3.2942 | ppl: 27.0 | tok/s: 588,942 | remaining steps: 27251s
Step 22999 (46.0%) | train: 3.2164 | val: 3.2862 | ppl: 26.7 | tok/s: 589,127 | remaining steps: 27001s
Step 23249 (46.5%) | train: 3.1967 | val: 3.3038 | ppl: 27.2 | tok/s: 588,655 | remaining steps: 26751s
Step 23499 (47.0%) | train: 3.2173 | val: 3.2738 | ppl: 26.4 | tok/s: 589,060 | remaining steps: 26501s
Step 23749 (47.5%) | train: 3.1908 | val: 3.2915 | ppl: 26.9 | tok/s: 587,267 | remaining steps: 26251s
Step 23999 (48.0%) | train: 3.2171 | val: 3.2849 | ppl: 26.7 | tok/s: 588,032 | remaining steps: 26001s
Step 24249 (48.5%) | train: 3.2140 | val: 3.2950 | ppl: 27.0 | tok/s: 588,255 | remaining steps: 25751s
Step 24499 (49.0%) | train: 3.2095 | val: 3.2859 | ppl: 26.7 | tok/s: 588,809 | remaining steps: 25501s
Step 24749 (49.5%) | train: 3.2212 | val: 3.2602 | ppl: 26.1 | tok/s: 589,286 | remaining steps: 25251s
Step 24999 (50.0%) | train: 3.2091 | val: 3.2904 | ppl: 26.9 | tok/s: 588,139 | remaining steps: 25001s
Step 25249 (50.5%) | train: 3.2042 | val: 3.2779 | ppl: 26.5 | tok/s: 585,965 | remaining steps: 24751s
Step 25499 (51.0%) | train: 3.2069 | val: 3.3009 | ppl: 27.1 | tok/s: 588,749 | remaining steps: 24501s
Step 25749 (51.5%) | train: 3.2053 | val: 3.2953 | ppl: 27.0 | tok/s: 587,255 | remaining steps: 24251s
Step 25999 (52.0%) | train: 3.1926 | val: 3.2773 | ppl: 26.5 | tok/s: 589,089 | remaining steps: 24001s
Step 26249 (52.5%) | train: 3.2095 | val: 3.2658 | ppl: 26.2 | tok/s: 587,044 | remaining steps: 23751s
Step 26499 (53.0%) | train: 3.2066 | val: 3.2696 | ppl: 26.3 | tok/s: 589,935 | remaining steps: 23501s
Step 26749 (53.5%) | train: 3.1983 | val: 3.2730 | ppl: 26.4 | tok/s: 588,713 | remaining steps: 23251s
Step 26999 (54.0%) | train: 3.2012 | val: 3.2565 | ppl: 26.0 | tok/s: 587,595 | remaining steps: 23001s
Step 27249 (54.5%) | train: 3.1909 | val: 3.2799 | ppl: 26.6 | tok/s: 589,420 | remaining steps: 22751s
Step 27499 (55.0%) | train: 3.2040 | val: 3.2591 | ppl: 26.0 | tok/s: 588,561 | remaining steps: 22501s
