Step 0249 (0.5%) | train: 7.6982 | val: 7.6337 | ppl: 2066.8 | tok/s: 618,906 | remaining steps: 49751s
Step 0499 (1.0%) | train: 6.5603 | val: 6.5377 | ppl: 690.7 | tok/s: 616,827 | remaining steps: 49501s
Step 0749 (1.5%) | train: 6.0495 | val: 6.0258 | ppl: 414.0 | tok/s: 615,564 | remaining steps: 49251s
Step 0999 (2.0%) | train: 5.6086 | val: 5.6069 | ppl: 272.3 | tok/s: 615,875 | remaining steps: 49001s
Step 1249 (2.5%) | train: 5.2263 | val: 5.2327 | ppl: 187.3 | tok/s: 615,341 | remaining steps: 48751s
Step 1499 (3.0%) | train: 4.9428 | val: 4.9454 | ppl: 140.5 | tok/s: 617,007 | remaining steps: 48501s
Step 1749 (3.5%) | train: 4.6916 | val: 4.7210 | ppl: 112.3 | tok/s: 617,392 | remaining steps: 48251s
Step 1999 (4.0%) | train: 4.5016 | val: 4.5262 | ppl: 92.4 | tok/s: 614,204 | remaining steps: 48001s
Step 2249 (4.5%) | train: 4.3220 | val: 4.3698 | ppl: 79.0 | tok/s: 619,534 | remaining steps: 47751s
Step 2499 (5.0%) | train: 4.1437 | val: 4.1842 | ppl: 65.6 | tok/s: 618,168 | remaining steps: 47501s
Step 2749 (5.5%) | train: 3.9557 | val: 4.0097 | ppl: 55.1 | tok/s: 618,171 | remaining steps: 47251s
Step 2999 (6.0%) | train: 3.8341 | val: 3.8989 | ppl: 49.3 | tok/s: 617,804 | remaining steps: 47001s
Step 3249 (6.5%) | train: 3.7646 | val: 3.7950 | ppl: 44.5 | tok/s: 616,229 | remaining steps: 46751s
Step 3499 (7.0%) | train: 3.6785 | val: 3.7497 | ppl: 42.5 | tok/s: 618,124 | remaining steps: 46501s
Step 3749 (7.5%) | train: 3.6066 | val: 3.6777 | ppl: 39.6 | tok/s: 617,352 | remaining steps: 46251s
Step 3999 (8.0%) | train: 3.5791 | val: 3.6332 | ppl: 37.8 | tok/s: 613,633 | remaining steps: 46001s
Step 4249 (8.5%) | train: 3.5391 | val: 3.6001 | ppl: 36.6 | tok/s: 617,404 | remaining steps: 45751s
Step 4499 (9.0%) | train: 3.4958 | val: 3.5783 | ppl: 35.8 | tok/s: 617,601 | remaining steps: 45501s
Step 4749 (9.5%) | train: 3.4805 | val: 3.5318 | ppl: 34.2 | tok/s: 617,871 | remaining steps: 45251s
Step 4999 (10.0%) | train: 3.4407 | val: 3.5178 | ppl: 33.7 | tok/s: 615,839 | remaining steps: 45001s
Step 5249 (10.5%) | train: 3.4189 | val: 3.5000 | ppl: 33.1 | tok/s: 618,387 | remaining steps: 44751s
Step 5499 (11.0%) | train: 3.3912 | val: 3.4954 | ppl: 33.0 | tok/s: 618,362 | remaining steps: 44501s
