Step 0249 (0.5%) | train: 9.0075 | val: 9.0070 | ppl: 8160.3 | tok/s: 621,321 | remaining steps: 49751s
Step 0499 (1.0%) | train: 8.9931 | val: 8.9921 | ppl: 8039.5 | tok/s: 620,468 | remaining steps: 49501s
Step 0749 (1.5%) | train: 8.9667 | val: 8.9624 | ppl: 7803.9 | tok/s: 620,142 | remaining steps: 49251s
Step 0999 (2.0%) | train: 8.9103 | val: 8.9062 | ppl: 7377.8 | tok/s: 620,498 | remaining steps: 49001s
Step 1249 (2.5%) | train: 8.6832 | val: 8.6624 | ppl: 5781.6 | tok/s: 620,851 | remaining steps: 48751s
Step 1499 (3.0%) | train: 8.0525 | val: 8.0367 | ppl: 3092.5 | tok/s: 620,440 | remaining steps: 48501s
Step 1749 (3.5%) | train: 7.8361 | val: 7.8311 | ppl: 2517.8 | tok/s: 620,660 | remaining steps: 48251s
Step 1999 (4.0%) | train: 7.7020 | val: 7.7032 | ppl: 2215.4 | tok/s: 620,551 | remaining steps: 48001s
Step 2249 (4.5%) | train: 7.6074 | val: 7.6088 | ppl: 2015.8 | tok/s: 620,472 | remaining steps: 47751s
Step 2499 (5.0%) | train: 7.5204 | val: 7.5293 | ppl: 1861.8 | tok/s: 621,048 | remaining steps: 47501s
Step 2749 (5.5%) | train: 7.4590 | val: 7.4610 | ppl: 1738.8 | tok/s: 621,232 | remaining steps: 47251s
Step 2999 (6.0%) | train: 7.3972 | val: 7.3841 | ppl: 1610.2 | tok/s: 619,887 | remaining steps: 47001s
Step 3249 (6.5%) | train: 7.3182 | val: 7.3027 | ppl: 1484.3 | tok/s: 619,881 | remaining steps: 46751s
Step 3499 (7.0%) | train: 7.2528 | val: 7.2596 | ppl: 1421.6 | tok/s: 619,566 | remaining steps: 46501s
Step 3749 (7.5%) | train: 7.3464 | val: 7.3134 | ppl: 1500.3 | tok/s: 620,049 | remaining steps: 46251s
Step 3999 (8.0%) | train: 7.2223 | val: 7.2516 | ppl: 1410.4 | tok/s: 616,944 | remaining steps: 46001s
Step 4249 (8.5%) | train: 7.2607 | val: 7.2345 | ppl: 1386.5 | tok/s: 619,180 | remaining steps: 45751s
Step 4499 (9.0%) | train: 7.2228 | val: 7.2155 | ppl: 1360.4 | tok/s: 619,538 | remaining steps: 45501s
Step 4749 (9.5%) | train: 7.2508 | val: 7.2085 | ppl: 1350.9 | tok/s: 620,326 | remaining steps: 45251s
Step 4999 (10.0%) | train: 7.1578 | val: 7.1531 | ppl: 1278.1 | tok/s: 620,641 | remaining steps: 45001s
Step 5249 (10.5%) | train: 7.1854 | val: 7.2761 | ppl: 1445.3 | tok/s: 619,318 | remaining steps: 44751s
Step 5499 (11.0%) | train: 7.1414 | val: 7.1348 | ppl: 1254.9 | tok/s: 619,041 | remaining steps: 44501s
Step 5749 (11.5%) | train: 7.1642 | val: 7.2112 | ppl: 1354.5 | tok/s: 619,742 | remaining steps: 44251s
Step 5999 (12.0%) | train: 7.1442 | val: 7.1169 | ppl: 1232.6 | tok/s: 620,584 | remaining steps: 44001s
Step 6249 (12.5%) | train: 7.2247 | val: 7.1366 | ppl: 1257.2 | tok/s: 617,081 | remaining steps: 43751s
Step 6499 (13.0%) | train: 7.1448 | val: 7.1247 | ppl: 1242.3 | tok/s: 618,927 | remaining steps: 43501s
Step 6749 (13.5%) | train: 7.1409 | val: 7.2814 | ppl: 1453.1 | tok/s: 619,480 | remaining steps: 43251s
Step 6999 (14.0%) | train: 7.2181 | val: 7.1441 | ppl: 1266.6 | tok/s: 619,113 | remaining steps: 43001s
Step 7249 (14.5%) | train: 7.1363 | val: 7.1158 | ppl: 1231.2 | tok/s: 618,782 | remaining steps: 42751s
Step 7499 (15.0%) | train: 7.1745 | val: 7.5117 | ppl: 1829.3 | tok/s: 620,243 | remaining steps: 42501s
Step 7749 (15.5%) | train: 7.1431 | val: 7.1274 | ppl: 1245.6 | tok/s: 617,935 | remaining steps: 42251s
Step 7999 (16.0%) | train: 7.1276 | val: 7.0983 | ppl: 1209.9 | tok/s: 617,898 | remaining steps: 42001s
Step 8249 (16.5%) | train: 7.1545 | val: 7.1435 | ppl: 1265.9 | tok/s: 618,551 | remaining steps: 41751s
Step 8499 (17.0%) | train: 8.6550 | val: 8.6494 | ppl: 5706.7 | tok/s: 619,652 | remaining steps: 41501s
Step 8749 (17.5%) | train: 8.6145 | val: 8.6018 | ppl: 5441.6 | tok/s: 620,099 | remaining steps: 41251s
Step 8999 (18.0%) | train: 7.3069 | val: 7.2916 | ppl: 1467.9 | tok/s: 620,367 | remaining steps: 41001s
Step 9249 (18.5%) | train: 8.6191 | val: 8.6248 | ppl: 5568.2 | tok/s: 616,168 | remaining steps: 40751s
Step 9499 (19.0%) | train: 8.5836 | val: 8.5827 | ppl: 5338.4 | tok/s: 617,704 | remaining steps: 40501s
Step 9749 (19.5%) | train: 8.4673 | val: 8.4519 | ppl: 4683.8 | tok/s: 617,901 | remaining steps: 40251s
Step 9999 (20.0%) | train: 7.3964 | val: 7.3862 | ppl: 1613.6 | tok/s: 616,416 | remaining steps: 40001s
Step 10249 (20.5%) | train: 7.3152 | val: 7.3058 | ppl: 1488.9 | tok/s: 620,403 | remaining steps: 39751s
Step 10499 (21.0%) | train: 8.5326 | val: 8.5307 | ppl: 5068.1 | tok/s: 617,231 | remaining steps: 39501s
Step 10749 (21.5%) | train: 8.3628 | val: 8.3405 | ppl: 4190.0 | tok/s: 615,023 | remaining steps: 39251s
Step 10999 (22.0%) | train: 7.8362 | val: 7.8040 | ppl: 2450.3 | tok/s: 616,803 | remaining steps: 39001s
